date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:27:58	20076/20076	---M-Z	200	added ('OK')	application/javascript	etag:W/%22669db35dcd32ca5124d0c2327bf824cf%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ooi.45f1246d.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/wix-thunderbolt/dist/ooi.45f1246d.chunk.min.js	(from https://www.180dcberkeley.com/)
22:27:59	4999/4999	---M-Z	200	added ('OK')	application/javascript	etag:W/%22fe037212b5a23b09c54a319d92838357%22	https://static.parastorage.com/services/wix-thunderbolt/dist/popups.a23dccd1.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/wix-thunderbolt/dist/popups.a23dccd1.chunk.min.js	(from https://www.180dcberkeley.com/)
22:27:59	4086/4086	---M-Z	200	added ('OK')	application/javascript	etag:W/%2243e79d0a820a60e64cfe5795fda91822%22	https://static.parastorage.com/services/wix-thunderbolt/dist/protectedPages.e9a9db5b.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/wix-thunderbolt/dist/protectedPages.e9a9db5b.chunk.min.js	(from https://www.180dcberkeley.com/)
22:27:59	35067/35067	---M-Z	200	added ('OK')	application/javascript	etag:W/%229107f6178484039ce39c2456631c9d9e%22	https://static.parastorage.com/services/wix-thunderbolt/dist/siteMembers.a20ad5f1.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/wix-thunderbolt/dist/siteMembers.a20ad5f1.chunk.min.js	(from https://www.180dcberkeley.com/)
22:27:59	8550/8550	---M-Z	200	added ('OK')	application/javascript	etag:W/%22444be982c859fc22960889b08e7bebf8%22	https://static.parastorage.com/services/wix-thunderbolt/dist/tpaCommons.fd7e49b4.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/wix-thunderbolt/dist/tpaCommons.fd7e49b4.chunk.min.js	(from https://www.180dcberkeley.com/)
22:28:00	592/592	---M-Z	200	added ('OK')	application/javascript	etag:W/%2296435d3c6940a8c05e4843c7647e65d5%22	https://static.parastorage.com/services/wix-thunderbolt/dist/windowMessageRegistrar.833cd0ce.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/wix-thunderbolt/dist/windowMessageRegistrar.833cd0ce.chunk.min.js	(from https://www.180dcberkeley.com/)
22:28:00	15996/15996	---M-Z	200	added ('OK')	application/javascript	etag:W/%226ba811bd9aa80a6004d180ea573338f8%22	https://static.parastorage.com/services/wix-thunderbolt/dist/platform.82b73454.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/wix-thunderbolt/dist/platform.82b73454.chunk.min.js	(from https://www.180dcberkeley.com/)
22:28:00	60287/60287	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f17753417e1cf9650dff7153fbc17bb0%22	https://static.parastorage.com/services/editor-elements/dist/componentSdks.5a0183f1.bundle.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/editor-elements/dist/componentSdks.5a0183f1.bundle.min.js	(from https://www.180dcberkeley.com/)
22:28:01	10276/10276	---M-Z	200	added ('OK')	application/javascript	etag:W/%22bb126b6054c4d9c61702d224b8344943%22	https://static.parastorage.com/services/tag-manager-client/1.282.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/tag-manager-client/1.282.0/siteTags.bundle.min.js	(from https://www.180dcberkeley.com/)
22:28:01	126395/126395	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228980ef3ef12bbfe928b8e2ee2a69ad1%22	https://static.parastorage.com/services/editor-elements/dist/thunderboltElements.884a5072.bundle.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/editor-elements/dist/thunderboltElements.884a5072.bundle.min.js	(from https://www.180dcberkeley.com/)
22:28:01	32692/32692	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a4945b0344123bdecb2d1a3f5fddbade%22	https://static.parastorage.com/services/wix-perf-measure/1.451.0/wix-perf-measure.bundle.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/wix-perf-measure/1.451.0/wix-perf-measure.bundle.min.js	(from https://www.180dcberkeley.com/)
22:28:01	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20May%202021%2016:58:02%20GMT	https://www.180dcberkeley.com/version/	C:/My%20Web%20Sites/dc180/www.180dcberkeley.com/version/index.html	(from https://www.180dcberkeley.com/)
22:28:02	118656/118656	---M-Z	200	added ('OK')	application/javascript	etag:W/%22dcf51763fb4a654e15a4e6e7754ca5d2%22	https://static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js	(from https://www.180dcberkeley.com/)
